	stat	logfc	pval	qval	initial_mean	final_mean	initial_mean_ori	final_mean_ori
PCLAF	0.30448425855292804	1.3844230932691264	0.0	0.0	0.7860336105684677	0.29491481590508606	1.9459718	0.72175145
TOP2A	0.34113551203948655	2.0326891215934273	0.0	0.0	0.5246935302705713	0.12067861765129202	1.348958	0.3102556
ESCO2	0.19906403985754217	3.5033293601636535	0.0	0.0	0.2866641114555332	0.016161207724955363	0.4314248	0.024287853
NUSAP1	0.17651651740836438	2.419609709879379	0.0	0.0	0.15613319742933615	0.021051409823884096	0.30578312	0.041228678
SPC25	0.1834342213951905	1.5857447424778115	0.0	0.0	0.3921097438296038	0.12396392517948117	0.7006733	0.2205961
SMC4	0.16555160721025874	0.9719489284980509	0.0	0.0	0.4316124508022917	0.21514148569332578	0.8001696	0.39594868
HMGB2	0.20844137192857248	0.6421654941669581	0.0	0.0	0.6398539558025417	0.4063942186544081	1.7411205	1.1029658
BIRC5	0.19626062284793255	2.894148018572504	0.0	0.0	0.2921250530184508	0.030640718198127657	0.5521551	0.05786346
PRC1	0.16166930788189549	2.5277915975809524	1.1102230246251565e-16	2.3277676082974118e-14	0.17938290303114868	0.022839737415035984	0.36029032	0.045873582
FBXO5	0.16072458709500737	2.74845486025187	2.220446049250313e-16	3.809074268123037e-14	0.2961720977393851	0.035561525324800856	0.44952968	0.052572653
RRM2	0.1602410465739088	1.2753912094928974	2.220446049250313e-16	3.809074268123037e-14	0.7325986953860867	0.29677726526217985	1.5649198	0.62390476
MKI67	0.15781216384075636	3.030639813628669	4.440892098500626e-16	6.983302824892235e-14	0.2406319190007998	0.020670643599218167	0.43035465	0.036747117
CENPF	0.15743483453238527	1.8044966227566617	5.551115123125783e-16	8.057657105644887e-14	0.14003937810282702	0.032953409742791026	0.33051363	0.07777491
CDCA8	0.1533960134168424	2.239558473811935	2.886579864025407e-15	3.890697288154245e-13	0.2244294844665683	0.039640706610943974	0.43322584	0.076187804
CCNB1	0.1456565700473429	1.9126434080290178	6.195044477408373e-14	7.793365952579735e-12	0.08147607593273777	0.014296543251080566	0.1714585	0.03008569
PBK	0.13885625740090102	1.8859146415025412	7.939204849094494e-13	9.36329971890082e-11	0.3942716510983545	0.09938465763683822	0.6504723	0.16942237
AURKB	0.1378137104970245	3.3788572452241614	1.1617373729677638e-12	1.2895284839942178e-10	0.21395020627794809	0.011528515543128611	0.32222012	0.016997399
